timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1448546713291,465,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,8,8,461
1448546713291,486,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,8,8,468
1448546713296,490,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,8,8,489
1448546714045,719,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,8,8,715
1448546714891,1118,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,9,9,1063
1448546715199,832,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,9,9,827
1448546715934,619,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,,11947,9,9,617
1448546715933,613,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,,11947,9,9,605
1448546716036,537,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,9,9,536
1448546716005,576,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,9,9,574
1448546716074,557,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,,11947,9,9,546
1448546717095,472,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,8,8,470
1448546717150,511,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,8,8,509
1448546717608,482,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,9,9,474
1448546717720,480,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,9,9,479
1448546718038,607,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,,11947,9,9,601
1448546718205,522,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,9,9,514
1448546718126,607,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,9,9,605
1448546718242,611,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,,11947,9,9,607
1448546719236,483,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,8,8,482
1448546719340,443,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,8,8,442
1448546719591,520,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,8,8,468
1448546719740,516,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,8,8,515
1448546719788,515,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,8,8,500
1448546720102,523,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,,11947,8,8,520
1448546720223,516,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,7,7,513
1448546720306,599,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,7,7,597
1448546721209,454,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,8,8,453
1448546721324,483,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,8,8,481
1448546721631,739,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,8,8,732
1448546721794,801,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,8,8,800
1448546721680,912,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,8,8,907
1448546722642,700,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,8,8,698
1448546722745,705,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,8,8,700
1448546723101,556,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,554
1448546723872,790,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,9,9,789
1448546723851,823,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,9,9,822
1448546724369,1220,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,9,9,1218
1448546724430,1169,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,9,9,1167
1448546724608,1075,LG G3 16GB Page,200,OK,Thread Group 1-7,text,true,,11947,9,9,1074
1448546725204,858,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,8,8,857
1448546725680,601,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,8,8,599
1448546725838,526,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,520
1448546726409,660,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,9,9,657
1448546726746,478,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,9,9,474
1448546726814,572,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,9,9,568
1448546727204,424,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,9,9,422
1448546727215,507,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,9,9,503
1448546727615,505,LG G3 16GB Page,200,OK,Thread Group 1-8,text,true,,11947,9,9,500
1448546727816,482,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,480
1448546727882,458,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,8,8,454
1448546728692,477,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,8,8,477
1448546728511,475,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,8,8,470
1448546728557,621,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,620
1448546729258,1005,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,9,9,1004
1448546728913,1390,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,9,9,1381
1448546729211,1241,LG G3 16GB Page,200,OK,Thread Group 1-9,text,true,,11947,9,9,1240
1448546730376,424,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,421
1448546730518,525,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,8,8,522
1448546730650,509,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,8,8,508
1448546730707,491,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,8,8,487
1448546730753,499,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,492
1448546731427,583,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,581
1448546731676,1089,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,8,8,1073
1448546731699,1084,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,8,8,1083
1448546732636,667,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,9,9,659
1448546733023,562,LG G3 16GB Page,200,OK,Thread Group 1-10,text,true,,11947,9,9,560
1448546733211,487,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,8,8,481
1448546733314,503,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,8,8,494
1448546733375,595,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,512
1448546733996,778,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,776
1448546734549,950,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,8,8,923
1448546734527,1128,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,8,8,1092
1448546735050,930,LG G3 16GB Page,200,OK,Thread Group 1-18,text,true,,11947,8,8,921
1448546734960,1100,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,9,9,1077
1448546735979,758,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,9,9,756
1448546736049,1018,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,9,9,1010
1448546736583,623,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,9,9,568
1448546736736,619,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,9,9,599
1448546737523,516,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,9,9,505
1448546737497,821,LG G3 16GB Page,200,OK,Thread Group 1-11,text,true,,11947,9,9,816
1448546737835,525,LG G3 16GB Page,200,OK,Thread Group 1-19,text,true,,11947,8,8,514
1448546737789,577,LG G3 16GB Page,200,OK,Thread Group 1-18,text,true,,11947,8,8,577
1448546738025,565,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,564
1448546738494,888,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,9,9,885
1448546738900,498,LG G3 16GB Page,200,OK,Thread Group 1-12,text,true,,11947,9,9,490
1448546738951,488,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,484
1448546739117,533,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,530
1448546739622,522,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,8,8,520
1448546739834,521,LG G3 16GB Page,200,OK,Thread Group 1-18,text,true,,11947,8,8,512
1448546740111,562,LG G3 16GB Page,200,OK,Thread Group 1-19,text,true,,11947,8,8,561
1448546740175,548,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,541
1448546740719,735,LG G3 16GB Page,200,OK,Thread Group 1-20,text,true,,11947,8,8,734
1448546741230,502,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,8,8,502
1448546741177,572,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,569
1448546741243,537,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,535
1448546741753,1042,LG G3 16GB Page,200,OK,Thread Group 1-13,text,true,,11947,9,9,1040
1448546741708,1249,LG G3 16GB Page,200,OK,Thread Group 1-18,text,true,,11947,8,8,1248
1448546742691,719,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,8,8,717
1448546742651,766,LG G3 16GB Page,200,OK,Thread Group 1-19,text,true,,11947,8,8,764
1448546743692,501,LG G3 16GB Page,200,OK,Thread Group 1-20,text,true,,11947,8,8,500
1448546743863,658,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,8,8,657
1448546743912,679,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,679
1448546743965,717,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,714
1448546744015,794,LG G3 16GB Page,200,OK,Thread Group 1-21,text,true,,11947,8,8,793
1448546744758,954,LG G3 16GB Page,200,OK,Thread Group 1-18,text,true,,11947,9,9,952
1448546745395,855,LG G3 16GB Page,200,OK,Thread Group 1-14,text,true,,11947,9,9,855
1448546745646,694,LG G3 16GB Page,200,OK,Thread Group 1-19,text,true,,11947,8,8,692
1448546746653,651,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,8,8,643
1448546746854,506,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,494
1448546747005,602,LG G3 16GB Page,200,OK,Thread Group 1-20,text,true,,11947,8,8,600
1448546747056,554,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,8,8,552
1448546747148,519,LG G3 16GB Page,200,OK,Thread Group 1-21,text,true,,11947,8,8,516
1448546747165,505,LG G3 16GB Page,200,OK,Thread Group 1-22,text,true,,11947,8,8,502
1448546747412,662,LG G3 16GB Page,200,OK,Thread Group 1-18,text,true,,11947,9,9,661
1448546748084,628,LG G3 16GB Page,200,OK,Thread Group 1-19,text,true,,11947,9,9,623
1448546748902,466,LG G3 16GB Page,200,OK,Thread Group 1-16,text,true,,11947,9,9,459
1448546748715,843,LG G3 16GB Page,200,OK,Thread Group 1-15,text,true,,11947,9,9,841
1448546749150,629,LG G3 16GB Page,200,OK,Thread Group 1-17,text,true,,11947,8,8,609
1448546749122,738,LG G3 16GB Page,200,OK,Thread Group 1-20,text,true,,11947,8,8,658
1448546749151,745,LG G3 16GB Page,200,OK,Thread Group 1-21,text,true,,11947,8,8,684
1448546749334,620,LG G3 16GB Page,200,OK,Thread Group 1-22,text,true,,11947,8,8,617
1448546749537,522,LG G3 16GB Page,200,OK,Thread Group 1-23,text,true,,11947,8,8,518
