timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1448546696347,404,HomePage,200,OK,Thread Group 1-4,text,true,9322,5,5,403
1448546696304,456,HomePage,200,OK,Thread Group 1-1,text,true,9322,5,5,456
1448546696304,487,HomePage,200,OK,Thread Group 1-2,text,true,9322,5,5,482
1448546696641,418,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,6,6,417
1448546696744,469,HomePage,200,OK,Thread Group 1-5,text,true,9322,6,6,463
1448546696754,541,ListingPage,200,OK,Thread Group 1-4,text,true,10279,6,6,540
1448546696763,537,ListingPage,200,OK,Thread Group 1-1,text,true,10279,6,6,536
1448546696794,549,ListingPage,200,OK,Thread Group 1-2,text,true,10279,6,6,544
1448546696989,606,HomePage,200,OK,Thread Group 1-6,text,true,9322,6,6,594
1448546697088,546,HomePage,200,OK,Thread Group 1-3,text,true,9322,6,6,545
1448546697303,459,ListingFilterPAge,200,OK,Thread Group 1-1,text,true,1888,6,6,459
1448546697299,473,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,6,6,472
1448546697348,454,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,6,6,454
1448546697218,766,ListingPage,200,OK,Thread Group 1-5,text,true,10279,6,6,764
1448546697599,579,ListingPage,200,OK,Thread Group 1-6,text,true,10279,6,6,578
1448546697638,592,ListingPage,200,OK,Thread Group 1-3,text,true,10279,6,6,591
1448546697775,496,LG G3 16GB Page,200,OK,Thread Group 1-4,text,true,11947,6,6,495
1448546697765,519,LG G3 16GB Page,200,OK,Thread Group 1-1,text,true,11947,6,6,511
1448546697807,467,LG G3 16GB Page,200,OK,Thread Group 1-2,text,true,11947,6,6,464
1448546697989,347,ListingFilterPAge,200,OK,Thread Group 1-5,text,true,1888,6,6,347
1448546698183,403,ListingFilterPAge,200,OK,Thread Group 1-6,text,true,1888,6,6,403
1448546698254,364,ListingFilterPAge,200,OK,Thread Group 1-3,text,true,1888,6,6,364
1448546698339,451,LG G3 16GB Page,200,OK,Thread Group 1-5,text,true,11947,6,6,448
1448546698335,486,HomePage,200,OK,Thread Group 1-1,text,true,9322,6,6,485
1448546698335,483,HomePage,200,OK,Thread Group 1-4,text,true,9322,6,6,483
1448546698338,520,HomePage,200,OK,Thread Group 1-2,text,true,9322,6,6,516
1448546698622,415,LG G3 16GB Page,200,OK,Thread Group 1-3,text,true,11947,6,6,413
1448546698590,459,LG G3 16GB Page,200,OK,Thread Group 1-6,text,true,11947,6,6,453
1448546698824,530,HomePage,200,OK,Thread Group 1-5,text,true,9322,6,6,529
1448546698861,573,ListingPage,200,OK,Thread Group 1-2,text,true,10279,6,6,570
1448546698826,617,ListingPage,200,OK,Thread Group 1-4,text,true,10279,6,6,614
1448546698825,652,ListingPage,200,OK,Thread Group 1-1,text,true,10279,6,6,648
1448546699087,453,HomePage,200,OK,Thread Group 1-3,text,true,9322,6,6,452
1448546699090,485,HomePage,200,OK,Thread Group 1-6,text,true,9322,6,6,483
1448546699441,343,ListingFilterPAge,200,OK,Thread Group 1-2,text,true,1888,6,6,343
1448546699450,348,ListingFilterPAge,200,OK,Thread Group 1-4,text,true,1888,6,6,348
