Issue Type,Summary,BUG Description,Linked issue,Epic Link,Labels,Priority,Status,Comments
Bug,Pressing the box to select all visible voucer instances doesn't activate buttons to delete or modify the vouchers,Voucher Instancces - Pressing the box to select all visible voucer instances doesn't activate buttons to delete or modify the vouchers,SAB-228,Vouchers - PIM,,Medium,To Do,
Bug,"After creating an offering, entering on draft mode will remove all details.","Offerings details - After creating an offering, entering on draft mode will remove all details.
Also not all fiels added by the ""+"" have the option to be removed
If an filed is left empy after saving the draft, trying to publish it will give validation error. But if in this state text is introduced (without editing the draft) the validation error doesn't occur but the offering is published with an empty field",,Offerings - PIM,,Medium,To Do,25/02/2016 Geani: If it isn't clear please call me on skype
Bug,[Question] Why only pricelist without offerings are displayed?,Offerings price list - Why only pricelist without offerings are displayed?,,Offerings - PIM,,Medium,To Do,
Bug,Publishing offerings doesn't update the title untill refreshign the page,"Offerings - publishing offerings doesn't update the title untill refreshign the page : 
(geani offering 2602 1410 [Draft v.1)]) 
STATUS
PUBLISHED (V.1)",,Offerings - PIM,,High,To Do,
Bug,"In orde to create an offering you must add the the device and click save enter in edit mode, add details, save","Offering creation - In orde to create an offering you must add the the device and click save
enter in edit mode, add details, save
enter edit mode again, add price list, save, publish
Everythign should be done in one EDIT,SAVE,PUBLISH
8/4/2016 Geani: Please see comments",,Offerings - PIM,,High,To Do,"8/4/2016 Geani: After entering in edit mode, select ""Testlist2"" add a price list THEN add a product to the offering, the details and the price list will be rest if the draft was not saved before adding the product. ## Cristian: To approve if not auto refreshing of product add is an accepted solution. Details and Pricelist tabs are not cleaned anymore before Save.
14/03/2016 Geani: After adding product it cant be see in Draft Edit mode. After pressing save a null offering is displayed"
Bug,Assigned pricelist can't be removed,Offerings price list - assigned pricelist can't be removed,,Offerings - PIM,,Medium,To Do,
Bug,Search for a text in the middle of a name displays 0 result,Product name search - Search for a text in the middle of a name displays 0 result,,Search Products - PIM,,Medium,To Do,
Bug,[Question] Assigned products can't be removed or edited after publishing,"Offerings - Assigned products can't be removed or edited after publishing.
Note: new produts can't be added to the offering",,Offerings - PIM,,High,To Do,
Bug,Default status filter only show Published products,Default status filter only show Published prodcuts,,Search Products - PIM,,Medium,To Do,
Bug,"After pressing ""create"" button the form is closed but the variant is not created","Offering variant - after pressing ""create"" button the form is closed but the variant is not created",,Offerings - PIM,,High,In Progress,"10/3/2016 maciejs: offering variant can be created after filling in all mandatory input filelds.
Offering variants list is updated as well."
Bug,No mouse over description for copy button,Product history - no mouse over descriop for copy button,,Product Lifecycle - PIM,,Low,To Do,
Bug,According to HLR search/filters for product history is missing.,"Product history - According to HLR search/filters for product history is missing. 
Also details about product details is missing from history tab",,Product Lifecycle - PIM,,Low,To Do,
Bug,According to HLR - HTML description is missing from products/offerings/bundles,According to HLR - HTML description is missing from products/offerings/bundles,,Product Lifecycle - PIM,,High,To Do,7/3/2016 PiotrI: Configuration issue
Bug,According to HLR - Offerings (bundles) option for uploading images is missing,According to HLR - Offerings (bundles) option for uploading images is missing,,Offerings - PIM,,High,To Do,07/03/2016: Functionality is underdevlopment
Bug,Redirects (to OMS/CAI from the upper tab buttons) are invallid,Redirects (to OMS/CAI from the upper tab buttons) are invallid,,Integration - PIM,,Low,To Do,
Bug,According to HLR (rediness) - Ratings & Reviews functionalilty is missing from PIM,According to HLR (rediness) - Ratings & Reviews functionalilty is missing from PIM,SAB-238,Star Ratins - PIM,,Medium,To Do,
Bug,According to HLR (rediness) - Assigning accesory to products functionality is missing,According to HLR (rediness) - Assigning accesory to products functionality is missing,SAB-242,Product Accessories - PIM,,Medium,To Do,
Bug,"While you are on edit mode, in price listing tab, when you try to schedule the product there is a display issue","Offerings tab, While you are on edit mode, in price listing tab, when you try to schedule the product there is a display issue on ""Select time"" category 
( check screenshot id 37 )",,Offerings - PIM,,Low,To Do,
Bug,According to HLR (rediness) - Option to clone product is missing,According to HLR (rediness) - Option to clone product is missing,SAB-249,Cloning Products - PIM,,Medium,To Do,
Bug,According to HLR (rediness) - Services are missing,According to HLR (rediness) - Services are missing,SAB-250,Services - PIM,,Medium,To Do,
Bug,According to HLR (rediness) - Trade-in checkbox/field is missing,According to HLR (rediness) - Trade-in checkbox/field is missing,SAB-263,Trade-ins - PIM,,Medium,To Do,
Bug,"Price list tab, when you set a schedule date and hour, that information is not listed anywhere.","Offerings tab - Edit the product - Price list tab, when you set a schedule date and hour, that information is not listed anywhere. Option to edit/cancel the schedule should also be available",,Offerings - PIM,,Medium,To Do,
Bug,"Abort draft doesnt work unless you complete the ""Date"" field","Abort draft doesnt work unless you complete the ""Date"" field, 
""May not be null"" validation error appears.",,Product Lifecycle - PIM,,High,To Do,07/03/2016: Should be fixed with Bug#51
Bug,"Price list details, history is empty.","Price list details, history is empty.",,Offerings - PIM,,Low,To Do,
Bug,No Popup message on product workflow actions,"No Popup message on product workflow actions (i.e. Save, Publish etc).",,Product Lifecycle - PIM,,Low,To Do,
Bug,Errors in logs when saving Offerings,Errors in logs when saving Offerings (functionality seems to be working),,Offerings - PIM,,Medium,To Do,"2016-03-07 13:27:14,078 ERROR [org.jboss.as.ejb3.invocation] (default task-13) JBAS014134: EJB Invocation failed on component ProductVersionService for method public com.brandpath.pim.model.product.ProductVersion com.brandpath.pim.business.service.product.ProductVersionService.findProductVersionWithInitialization(java.lang.Integer) throws com.brandpath.commons.business.exception.ServiceException: javax.ejb.EJBException: javax.persistence.NoResultException: No entity found for query
"
Bug,Price List at offerings can't be searched,Price List at offerings can't be searched,,Offerings - PIM,,High,To Do,"2016-03-07 13:29:31,596 ERROR [org.jboss.as.ejb3] (default task-17) javax.ejb.EJBTransactionRolledbackException: Parameter value [1, BPCREFSITE, BPC Reference Site] did not match expected type [com.brandpath.pim.model.offering.PriceListType (n/a)]"
Bug,Performance of the product details page,Performance of the product details page - over 900 queries executed when opening this page,,Integration - PIM,,Medium,To Do,
Bug,In Related offerings tab - exception occurs,In Related offerings tab - exception occurs - can't view the offering (if related offerings exists),,Offerings - PIM,,High,In Progress,
Bug,Price list - cannot view more than 1 price type,Price list - cannot view more than 1 price type,SAB-217,Offerings - PIM,,Medium,To Do,
Bug,Offerings listing - cannot change paging,Offerings listing - cannot change paging,,Offerings - PIM,,Low,In Progress,"Fixed, paging is now available. Cristian"
Bug,Images are not visible in the offerings,Images are not visible in the offerings,,Offerings - PIM,,Medium,To Do,3/7/2016 PiotrI: We need to change the logic on how images are viewed for offerings
Bug,Product creation - Led Lamp - Error generated in the logs,"Product creation - Led Lamp - Error generated in the logs
Details are missing
Assets can't be uploaded. ""Choose"" button is missing
Product can't be published.",,Product Lifecycle - PIM,,High,To Do,"2016-03-10 10:30:42,940 ERROR [com.brandpath.pim.web.controller.product.version.AssetVersion] (default task-31) ERROR: java.lang.NullPointerException
"
Bug,Offerings - Assets can't be uploaded,"Offerings - Assets can't be uploaded. ""Choose"" button is missing",,Offerings - PIM,,Medium,To Do,
Bug,Offerings - The view/edit button is missing on some resolutions,"Offerings - The view/edit button is missing on some resolutions, tested on 1280x1024 resolution and 1366x768",,Offerings - PIM,,High,To Do,
Bug,Adding multiple price list to an offering,"Offerings - Adding multiple price list to an offering will display ""Price 0"" on offering listing page",SAB-217,Offerings - PIM,,High,To Do,
Bug,"When you add an asset there is a blue square, which if you click it and try to add another image you get the following error","Product - Asset - When you add an asset there is a blue square, which if you click it and try to add another image you get the following error : Maximum number of files exceeded, please check ( screenshot 56 )",,Product Lifecycle - PIM,,Low,To Do,
Bug,Mobile type creates duplicate products,Product creation - Mobile type creates duplicate products,,Product Lifecycle - PIM,,High,In Progress,"As tested in pimtest(15mar.) mobile type product creation creates the right number of products - only one. ## Can someone please check if bug is reproducible elsewhere?

15/03/2016 13:57 Geani: Pleasee product geani duplicate test 15032015 1325 v1, in prodcut listing appear two of them) Screenshot for confrimation attached. Please see screenshot 111"
Bug,"Voucher ""applies to"" - not generic enough","Voucher ""applies to"" - not generic enough. What is 'an order without items'",,Vouchers - PIM,Nominal,Medium,To Do,
Bug,Type = change from individual / open to single use / multiple use,Type = change from individual / open to single use / multiple use,,Integration - PIM,Nominal,Medium,To Do,
Bug,Max/Min spend should have unlimited as option,Max/Min spend should have unlimited as option (and default to),,Integration - PIM,Nominal,Medium,To Do,
Bug,Available from / to = add time (as well as date).,Available from / to = add time (as well as date). Applies to all scheduling options,,Integration - PIM,Nominal,Medium,To Do,
Bug,Add unlimited usage option,Usage - Add unlimited usage option,,Integration - PIM,Nominal,Medium,To Do,
Bug,Consistency of download icons across all modules,"Consistency of download icons across all modules (ie. Excel, PDF)",,Integration - PIM,Nominal,Medium,To Do,
Bug,Vouchers nust not be included automatically to new offerings,Vouchers nust not be included automatically to new offerings - logic,,Vouchers - PIM,Nominal,Medium,To Do,
Bug,Brandpath favicons not consistent across all modules,Brandpath favicons not consistent across all modules,,Integration - PIM,Nominal,Medium,To Do,
Bug,"Add categories to ""applies to"" filter","Categories - Add categories to ""applies to"" filter",,Prodcut Categories - PIM,Nominal,Medium,To Do,
Bug,Assign products - needs reviewing,Assign products - needs reviewing. Just long list of products. UI for adding products needs re-engineering. Remove drop down.,,Offerings - PIM,Nominal,Medium,To Do,
Bug,Do not centralise code and name columns in product listing page / PIM,Do not centralise code and name columns in product listing page / PIM,,Integration - PIM,Nominal,Medium,To Do,
Bug,Mapping of Samsung codes to Tetra codes – 20 characters max.,Mapping of Samsung codes to Tetra codes – 20 characters max.,,Integration - PIM,Nominal,High,To Do,
Bug,Design guidelines. Consistency of signposts,Design guidelines. Consistency of signposts – buttons – all in one place etc.,,Integration - PIM,Nominal,Medium,To Do,
Bug,Need to see main variant in related product section,Variant page – Need to see main variant in related product section,,Prodcut Variants - PIM,Nominal,Medium,To Do,
Bug,Remove Tax Rate field when setting up offering,Remove Tax Rate field when setting up offering,,Offerings - PIM,Nominal,Medium,To Do,
Bug,“DFCDF” - remove from offering details,“DFCDF” - remove from offering details,,Offerings - PIM,Nominal,Medium,To Do,
Bug,Default to existing chosen prices without searching,Price lists – default settings – default to existing chosen prices without searching,,Offerings - PIM,Nominal,Medium,To Do,
Bug,After creating a new product the initial catalogue and category will be reset,After creating a new product the initial catalogue and category will be reset on enterign for the first time in draft mode,,Product Lifecycle - PIM,,Medium,To Do,
Bug,Offering price list are displayed only for the default (first) channel,Offering price list are displayed only for the default (first) channel,,Offerings - PIM,,High,To Do,
Bug,Prices should have 2 decimals format (DB constraint),Prices should have 2 decimals format (DB constraint),SAB-216,Offerings - PIM,,Medium,To Do,
Bug,VAT should be set in PIM for each shop,VAT should be set in PIM for each shop,,Product Properties - PIM,,Medium,In Progress,See Bug ID 43 (Web Page Bug List)
