country,usergroup,promotion_code,batch,promotion,promotion_type,discount_type,discount,startdate,enddate,issued_qty,not_used_qty,usage_qty,amount_of_orders
Online Shop,,geani-0G9D-1RVX,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-FO2K-FUIW,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-6AG8-5QP0,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-Q6SU-ANOU,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-JI42-LUOS,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-FW8X-W89E,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-M3Z2-HE8N,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-PDH7-T6L9,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-2GNV-O98O,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-RJY7-TKG5,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-K09O-HJI3,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-YYCQ-HU96,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-DK4C-11TF,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-OV7A-4PY4,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-AA1U-44W7,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-7MX0-MF7U,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-D1F6-AU3P,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-0PF1-ZEJD,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-JY2M-60FQ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-FMAV-YL0U,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-VZSK-WOKS,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-U3I3-40RL,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-LNPS-P5XL,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-JD4B-KCB0,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-BCY4-0S0Q,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-7QYJ-2Q0M,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-UDMC-W3FZ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-S4QN-0JMK,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-RTBK-LJBT,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-O0AS-Y7DP,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-Q2BL-4XCG,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-PS4U-VQ10,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
