label,responseCode,responseMessage,threadName,success,grpThreads,allThreads
Country Select,200,OK,Thread Group 1-1,true,3,3
UK Page,200,OK,Thread Group 1-1,true,4,4
Country Select,200,OK,Thread Group 1-2,true,5,5
UK Page,200,OK,Thread Group 1-2,true,9,9
Country Select,200,OK,Thread Group 1-3,true,9,9
Honor 5X Details ,200,OK,Thread Group 1-1,true,9,9
Country Select,200,OK,Thread Group 1-4,true,9,9
AddToBasketPage,200,OK,Thread Group 1-1,true,10,10
UK Page,200,OK,Thread Group 1-3,true,10,10
Country Select,200,OK,Thread Group 1-8,true,11,11
Country Select,200,OK,Thread Group 1-7,true,11,11
UK Page,200,OK,Thread Group 1-4,true,11,11
Country Select,200,OK,Thread Group 1-5,true,11,11
Honor 5X Details ,200,OK,Thread Group 1-2,true,11,11
Honor 5X Details ,200,OK,Thread Group 1-3,true,11,11
BasketPage,200,OK,Thread Group 1-1,true,12,12
UK Page,200,OK,Thread Group 1-8,true,12,12
AddToBasketPage,200,OK,Thread Group 1-2,true,12,12
UK Page,200,OK,Thread Group 1-5,true,12,12
UK Page,200,OK,Thread Group 1-7,true,12,12
Country Select,200,OK,Thread Group 1-9,true,12,12
Country Select,200,OK,Thread Group 1-6,true,12,12
AddToBasketPage,200,OK,Thread Group 1-3,true,12,12
Chekout-Auth,200,OK,Thread Group 1-1,true,13,13
Honor 5X Details ,200,OK,Thread Group 1-4,true,13,13
Country Select,200,OK,Thread Group 1-11,true,13,13
Country Select,200,OK,Thread Group 1-1,true,14,14
UK Page,200,OK,Thread Group 1-9,true,14,14
BasketPage,200,OK,Thread Group 1-2,true,14,14
UK Page,200,OK,Thread Group 1-6,true,14,14
Country Select,200,OK,Thread Group 1-10,true,14,14
UK Page,200,OK,Thread Group 1-11,true,14,14
Honor 5X Details ,200,OK,Thread Group 1-8,true,14,14
Honor 5X Details ,200,OK,Thread Group 1-5,true,15,15
AddToBasketPage,200,OK,Thread Group 1-4,true,15,15
Honor 5X Details ,200,OK,Thread Group 1-7,true,15,15
Country Select,200,OK,Thread Group 1-12,true,15,15
UK Page,200,OK,Thread Group 1-1,true,15,15
BasketPage,200,OK,Thread Group 1-3,true,15,15
Chekout-Auth,200,OK,Thread Group 1-2,true,16,16
AddToBasketPage,200,OK,Thread Group 1-8,true,16,16
BasketPage,200,OK,Thread Group 1-4,true,16,16
AddToBasketPage,200,OK,Thread Group 1-5,true,16,16
AddToBasketPage,200,OK,Thread Group 1-7,true,16,16
UK Page,200,OK,Thread Group 1-10,true,16,16
Country Select,200,OK,Thread Group 1-2,true,16,16
Country Select,200,OK,Thread Group 1-13,true,16,16
UK Page,200,OK,Thread Group 1-12,true,16,16
Honor 5X Details ,200,OK,Thread Group 1-11,true,16,16
Honor 5X Details ,200,OK,Thread Group 1-9,true,16,16
Honor 5X Details ,200,OK,Thread Group 1-6,true,17,17
Chekout-Auth,200,OK,Thread Group 1-3,true,17,17
BasketPage,200,OK,Thread Group 1-8,true,17,17
Country Select,200,OK,Thread Group 1-14,true,17,17
Chekout-Auth,200,OK,Thread Group 1-4,true,17,17
BasketPage,200,OK,Thread Group 1-5,true,17,17
UK Page,200,OK,Thread Group 1-2,true,17,17
BasketPage,200,OK,Thread Group 1-7,true,17,17
Honor 5X Details ,200,OK,Thread Group 1-1,true,17,17
UK Page,200,OK,Thread Group 1-13,true,17,17
Country Select,200,OK,Thread Group 1-3,true,17,17
Country Select,200,OK,Thread Group 1-15,true,17,17
Country Select,200,OK,Thread Group 1-4,true,17,17
AddToBasketPage,200,OK,Thread Group 1-11,true,17,17
AddToBasketPage,200,OK,Thread Group 1-9,true,18,18
Chekout-Auth,200,OK,Thread Group 1-8,true,18,18
Honor 5X Details ,200,OK,Thread Group 1-12,true,18,18
Honor 5X Details ,200,OK,Thread Group 1-10,true,18,18
UK Page,200,OK,Thread Group 1-14,true,18,18
AddToBasketPage,200,OK,Thread Group 1-6,true,18,18
Chekout-Auth,200,OK,Thread Group 1-5,true,18,18
UK Page,200,OK,Thread Group 1-3,true,18,18
AddToBasketPage,200,OK,Thread Group 1-1,true,18,18
Chekout-Auth,200,OK,Thread Group 1-7,true,18,18
UK Page,200,OK,Thread Group 1-4,true,18,18
Country Select,200,OK,Thread Group 1-16,true,18,18
Country Select,200,OK,Thread Group 1-8,true,18,18
UK Page,200,OK,Thread Group 1-15,true,18,18
Honor 5X Details ,200,OK,Thread Group 1-2,true,18,18
Country Select,200,OK,Thread Group 1-5,true,18,18
BasketPage,200,OK,Thread Group 1-11,true,18,18
Country Select,200,OK,Thread Group 1-7,true,18,18
BasketPage,200,OK,Thread Group 1-9,true,18,18
AddToBasketPage,200,OK,Thread Group 1-10,true,18,18
AddToBasketPage,200,OK,Thread Group 1-12,true,18,18
UK Page,200,OK,Thread Group 1-5,true,20,20
BasketPage,200,OK,Thread Group 1-1,true,20,20
Honor 5X Details ,200,OK,Thread Group 1-3,true,20,20
BasketPage,200,OK,Thread Group 1-6,true,20,20
Honor 5X Details ,200,OK,Thread Group 1-14,true,20,20
Country Select,200,OK,Thread Group 1-17,true,20,20
UK Page,200,OK,Thread Group 1-16,true,20,20
UK Page,200,OK,Thread Group 1-8,true,20,20
BasketPage,200,OK,Thread Group 1-12,true,20,20
Honor 5X Details ,200,OK,Thread Group 1-13,true,20,20
UK Page,200,OK,Thread Group 1-7,true,20,20
Honor 5X Details ,200,OK,Thread Group 1-15,true,20,20
Honor 5X Details ,200,OK,Thread Group 1-4,true,20,20
Chekout-Auth,200,OK,Thread Group 1-11,true,20,20
BasketPage,200,OK,Thread Group 1-10,true,20,20
Chekout-Auth,200,OK,Thread Group 1-9,true,21,21
AddToBasketPage,200,OK,Thread Group 1-2,true,21,21
Country Select,200,OK,Thread Group 1-18,true,21,21
Country Select,200,OK,Thread Group 1-11,true,21,21
Country Select,200,OK,Thread Group 1-9,true,22,22
AddToBasketPage,200,OK,Thread Group 1-14,true,22,22
