label,responseCode,responseMessage,threadName,success,grpThreads,allThreads,Latency
AddToBasketPage,200,OK,Thread Group 1-14,true,22,22,84
UK Page,200,OK,Thread Group 1-17,true,22,22,167
Chekout-Auth,200,OK,Thread Group 1-1,true,22,22,93
Chekout-Auth,200,OK,Thread Group 1-12,true,22,22,110
Honor 5X Details ,200,OK,Thread Group 1-5,true,22,22,167
AddToBasketPage,200,OK,Thread Group 1-3,true,22,22,86
AddToBasketPage,200,OK,Thread Group 1-15,true,22,22,117
Chekout-Auth,200,OK,Thread Group 1-6,true,22,22,102
AddToBasketPage,200,OK,Thread Group 1-4,true,22,22,134
UK Page,200,OK,Thread Group 1-18,true,22,22,189
BasketPage,200,OK,Thread Group 1-2,true,22,22,102
AddToBasketPage,200,OK,Thread Group 1-13,true,22,22,125
Chekout-Auth,200,OK,Thread Group 1-10,true,22,22,171
Honor 5X Details ,200,OK,Thread Group 1-7,true,22,22,217
UK Page,200,OK,Thread Group 1-11,true,22,22,146
Country Select,200,OK,Thread Group 1-1,true,22,22,112
UK Page,200,OK,Thread Group 1-9,true,22,22,145
Country Select,200,OK,Thread Group 1-12,true,22,22,95
Honor 5X Details ,200,OK,Thread Group 1-8,true,22,22,252
BasketPage,200,OK,Thread Group 1-14,true,22,22,66
Honor 5X Details ,200,OK,Thread Group 1-16,true,23,23,191
Country Select,200,OK,Thread Group 1-20,true,23,23,445
Country Select,200,OK,Thread Group 1-6,true,23,23,114
Country Select,200,OK,Thread Group 1-10,true,23,23,90
Country Select,200,OK,Thread Group 1-21,true,23,23,402
AddToBasketPage,200,OK,Thread Group 1-5,true,23,23,77
UK Page,200,OK,Thread Group 1-1,true,23,23,100
BasketPage,200,OK,Thread Group 1-15,true,23,23,80
Country Select,200,OK,Thread Group 1-19,true,23,23,471
Chekout-Auth,200,OK,Thread Group 1-2,true,23,23,78
BasketPage,200,OK,Thread Group 1-4,true,23,23,96
BasketPage,200,OK,Thread Group 1-3,true,23,23,118
UK Page,200,OK,Thread Group 1-12,true,23,23,134
AddToBasketPage,200,OK,Thread Group 1-7,true,23,23,70
UK Page,200,OK,Thread Group 1-10,true,23,23,121
Honor 5X Details ,200,OK,Thread Group 1-11,true,23,23,102
BasketPage,200,OK,Thread Group 1-13,true,23,23,100
Honor 5X Details ,200,OK,Thread Group 1-17,true,23,23,142
AddToBasketPage,200,OK,Thread Group 1-8,true,23,23,80
UK Page,200,OK,Thread Group 1-6,true,24,24,164
Chekout-Auth,200,OK,Thread Group 1-14,true,24,24,95
Country Select,200,OK,Thread Group 1-2,true,24,24,116
Country Select,200,OK,Thread Group 1-22,true,24,24,354
UK Page,200,OK,Thread Group 1-21,true,24,24,122
Honor 5X Details ,200,OK,Thread Group 1-18,true,24,24,129
Honor 5X Details ,200,OK,Thread Group 1-9,true,24,24,167
AddToBasketPage,200,OK,Thread Group 1-16,true,24,24,121
Chekout-Auth,200,OK,Thread Group 1-15,true,24,24,70
UK Page,200,OK,Thread Group 1-20,true,24,24,187
UK Page,200,OK,Thread Group 1-19,true,24,24,132
Honor 5X Details ,200,OK,Thread Group 1-1,true,24,24,151
Chekout-Auth,200,OK,Thread Group 1-3,true,24,24,81
Country Select,200,OK,Thread Group 1-14,true,24,24,97
Chekout-Auth,200,OK,Thread Group 1-4,true,24,24,93
BasketPage,200,OK,Thread Group 1-5,true,24,24,117
BasketPage,200,OK,Thread Group 1-7,true,24,24,89
Honor 5X Details ,200,OK,Thread Group 1-12,true,25,25,119
Chekout-Auth,200,OK,Thread Group 1-13,true,25,25,81
Country Select,200,OK,Thread Group 1-15,true,25,25,109
AddToBasketPage,200,OK,Thread Group 1-17,true,25,25,87
UK Page,200,OK,Thread Group 1-22,true,25,25,135
UK Page,200,OK,Thread Group 1-2,true,25,25,191
AddToBasketPage,200,OK,Thread Group 1-11,true,25,25,100
Country Select,200,OK,Thread Group 1-4,true,25,25,122
Country Select,200,OK,Thread Group 1-3,true,25,25,138
AddToBasketPage,200,OK,Thread Group 1-9,true,25,25,102
BasketPage,200,OK,Thread Group 1-8,true,25,25,119
Country Select,200,OK,Thread Group 1-23,true,25,25,437
Country Select,200,OK,Thread Group 1-13,true,25,25,98
BasketPage,200,OK,Thread Group 1-16,true,25,25,139
AddToBasketPage,200,OK,Thread Group 1-18,true,25,25,80
Honor 5X Details ,200,OK,Thread Group 1-10,true,25,25,193
UK Page,200,OK,Thread Group 1-14,true,25,25,172
AddToBasketPage,200,OK,Thread Group 1-1,true,25,25,105
UK Page,200,OK,Thread Group 1-15,true,25,25,126
Chekout-Auth,200,OK,Thread Group 1-7,true,26,26,104
Honor 5X Details ,200,OK,Thread Group 1-6,true,26,26,150
Chekout-Auth,200,OK,Thread Group 1-5,true,26,26,106
Honor 5X Details ,200,OK,Thread Group 1-21,true,26,26,163
AddToBasketPage,200,OK,Thread Group 1-12,true,26,26,87
Honor 5X Details ,200,OK,Thread Group 1-2,true,26,26,158
Honor 5X Details ,200,OK,Thread Group 1-20,true,26,26,175
BasketPage,200,OK,Thread Group 1-17,true,26,26,109
UK Page,200,OK,Thread Group 1-4,true,26,26,214
Country Select,200,OK,Thread Group 1-24,true,26,26,469
UK Page,200,OK,Thread Group 1-3,true,26,26,223
Country Select,200,OK,Thread Group 1-7,true,26,26,140
Country Select,200,OK,Thread Group 1-5,true,26,26,138
Honor 5X Details ,200,OK,Thread Group 1-19,true,26,26,200
BasketPage,200,OK,Thread Group 1-9,true,27,27,103
UK Page,200,OK,Thread Group 1-13,true,27,27,233
Chekout-Auth,200,OK,Thread Group 1-16,true,27,27,119
BasketPage,200,OK,Thread Group 1-11,true,27,27,121
Chekout-Auth,200,OK,Thread Group 1-8,true,27,27,128
Honor 5X Details ,200,OK,Thread Group 1-22,true,27,27,174
BasketPage,200,OK,Thread Group 1-18,true,27,27,124
BasketPage,200,OK,Thread Group 1-1,true,27,27,102
AddToBasketPage,200,OK,Thread Group 1-10,true,27,27,114
AddToBasketPage,200,OK,Thread Group 1-6,true,27,27,101
AddToBasketPage,200,OK,Thread Group 1-21,true,27,27,107
UK Page,200,OK,Thread Group 1-7,true,27,27,138
Country Select,200,OK,Thread Group 1-25,true,27,27,423
BasketPage,200,OK,Thread Group 1-12,true,27,27,111
Country Select,200,OK,Thread Group 1-16,true,27,27,104
Honor 5X Details ,200,OK,Thread Group 1-4,true,27,27,126
Honor 5X Details ,200,OK,Thread Group 1-14,true,27,27,261
Country Select,200,OK,Thread Group 1-8,true,27,27,112
Honor 5X Details ,200,OK,Thread Group 1-15,true,27,27,268
AddToBasketPage,200,OK,Thread Group 1-2,true,28,28,103
UK Page,200,OK,Thread Group 1-5,true,28,28,191
AddToBasketPage,200,OK,Thread Group 1-20,true,28,28,98
Chekout-Auth,200,OK,Thread Group 1-17,true,28,28,96
Honor 5X Details ,200,OK,Thread Group 1-3,true,28,28,126
UK Page,200,OK,Thread Group 1-24,true,28,28,206
UK Page,200,OK,Thread Group 1-23,true,28,28,220
Chekout-Auth,200,OK,Thread Group 1-9,true,28,28,67
AddToBasketPage,200,OK,Thread Group 1-19,true,28,28,92
Chekout-Auth,200,OK,Thread Group 1-11,true,28,28,78
AddToBasketPage,200,OK,Thread Group 1-22,true,28,28,72
Honor 5X Details ,200,OK,Thread Group 1-13,true,28,28,154
Chekout-Auth,200,OK,Thread Group 1-18,true,28,28,103
BasketPage,200,OK,Thread Group 1-10,true,28,28,95
UK Page,200,OK,Thread Group 1-16,true,28,28,158
Country Select,200,OK,Thread Group 1-26,true,28,28,484
UK Page,200,OK,Thread Group 1-8,true,29,29,172
BasketPage,200,OK,Thread Group 1-6,true,29,29,93
BasketPage,200,OK,Thread Group 1-21,true,29,29,92
UK Page,200,OK,Thread Group 1-25,true,29,29,186
Chekout-Auth,200,OK,Thread Group 1-1,true,29,29,113
Country Select,200,OK,Thread Group 1-17,true,29,29,167
Honor 5X Details ,200,OK,Thread Group 1-7,true,29,29,168
Country Select,200,OK,Thread Group 1-9,true,29,29,188
Chekout-Auth,200,OK,Thread Group 1-12,true,29,29,109
Country Select,200,OK,Thread Group 1-11,true,29,29,205
AddToBasketPage,200,OK,Thread Group 1-4,true,29,29,87
AddToBasketPage,200,OK,Thread Group 1-14,true,29,29,91
Country Select,200,OK,Thread Group 1-27,true,29,29,433
Country Select,200,OK,Thread Group 1-28,true,33,33,1101
UK Page,200,OK,Thread Group 1-27,true,34,34,791
UK Page,200,OK,Thread Group 1-11,true,34,34,839
Honor 5X Details ,200,OK,Thread Group 1-25,true,34,34,935
UK Page,200,OK,Thread Group 1-9,true,34,34,901
Chekout-Auth,200,OK,Thread Group 1-6,true,34,34,136
AddToBasketPage,200,OK,Thread Group 1-13,true,34,34,173
Country Select,200,OK,Thread Group 1-12,true,34,34,897
Chekout-Auth,200,OK,Thread Group 1-10,true,34,34,161
AddToBasketPage,200,OK,Thread Group 1-3,true,34,34,203
UK Page,200,OK,Thread Group 1-17,true,34,34,961
Honor 5X Details ,200,OK,Thread Group 1-8,true,34,34,945
Honor 5X Details ,200,OK,Thread Group 1-16,true,34,34,1006
BasketPage,200,OK,Thread Group 1-22,true,34,34,90
UK Page,200,OK,Thread Group 1-26,true,34,34,1041
Country Select,200,OK,Thread Group 1-1,true,34,34,995
BasketPage,200,OK,Thread Group 1-20,true,35,35,101
BasketPage,200,OK,Thread Group 1-19,true,35,35,81
BasketPage,200,OK,Thread Group 1-2,true,35,35,80
Honor 5X Details ,200,OK,Thread Group 1-23,true,35,35,1132
Country Select,200,OK,Thread Group 1-18,true,35,35,1121
AddToBasketPage,200,OK,Thread Group 1-15,true,35,35,99
Honor 5X Details ,200,OK,Thread Group 1-5,true,35,35,305
Country Select,200,OK,Thread Group 1-6,true,35,35,84
Honor 5X Details ,200,OK,Thread Group 1-24,true,35,35,1178
UK Page,200,OK,Thread Group 1-28,true,35,35,111
Country Select,200,OK,Thread Group 1-10,true,35,35,120
BasketPage,200,OK,Thread Group 1-4,true,35,35,891
AddToBasketPage,200,OK,Thread Group 1-25,true,35,35,61
BasketPage,200,OK,Thread Group 1-14,true,35,35,906
UK Page,200,OK,Thread Group 1-12,true,35,35,150
Chekout-Auth,200,OK,Thread Group 1-21,true,35,35,1029
AddToBasketPage,200,OK,Thread Group 1-7,true,35,35,1010
BasketPage,200,OK,Thread Group 1-13,true,36,36,82
AddToBasketPage,200,OK,Thread Group 1-8,true,36,36,75
Country Select,200,OK,Thread Group 1-29,true,36,36,1228
UK Page,200,OK,Thread Group 1-18,true,36,36,157
BasketPage,200,OK,Thread Group 1-3,true,36,36,91
UK Page,200,OK,Thread Group 1-1,true,36,36,200
AddToBasketPage,200,OK,Thread Group 1-16,true,36,36,101
Honor 5X Details ,200,OK,Thread Group 1-9,true,36,36,115
Honor 5X Details ,200,OK,Thread Group 1-11,true,36,36,134
Chekout-Auth,200,OK,Thread Group 1-22,true,36,36,99
Chekout-Auth,200,OK,Thread Group 1-19,true,36,36,101
Chekout-Auth,200,OK,Thread Group 1-20,true,36,36,109
Country Select,200,OK,Thread Group 1-32,true,36,36,336
Honor 5X Details ,200,OK,Thread Group 1-27,true,36,36,118
Chekout-Auth,200,OK,Thread Group 1-2,true,36,36,109
Country Select,200,OK,Thread Group 1-21,true,36,36,124
UK Page,200,OK,Thread Group 1-6,true,36,36,214
Country Select,200,OK,Thread Group 1-30,true,36,36,1097
UK Page,200,OK,Thread Group 1-10,true,36,36,196
AddToBasketPage,200,OK,Thread Group 1-5,true,36,36,114
BasketPage,200,OK,Thread Group 1-15,true,36,36,135
AddToBasketPage,200,OK,Thread Group 1-24,true,36,36,111
AddToBasketPage,200,OK,Thread Group 1-23,true,36,36,173
Country Select,200,OK,Thread Group 1-33,true,37,37,428
Country Select,200,OK,Thread Group 1-34,true,37,37,437
Country Select,200,OK,Thread Group 1-31,true,37,37,428
Chekout-Auth,200,OK,Thread Group 1-4,true,37,37,112
Country Select,200,OK,Thread Group 1-22,true,37,37,135
Country Select,200,OK,Thread Group 1-19,true,37,37,137
Honor 5X Details ,200,OK,Thread Group 1-12,true,37,37,149
Country Select,200,OK,Thread Group 1-20,true,37,37,150
Chekout-Auth,200,OK,Thread Group 1-14,true,37,37,101
Honor 5X Details ,200,OK,Thread Group 1-17,true,37,37,130
Country Select,200,OK,Thread Group 1-2,true,37,37,227
Country Select,200,OK,Thread Group 1-35,true,38,38,506
UK Page,200,OK,Thread Group 1-29,true,38,38,292
Honor 5X Details ,200,OK,Thread Group 1-1,true,38,38,175
Honor 5X Details ,200,OK,Thread Group 1-26,true,38,38,184
Chekout-Auth,200,OK,Thread Group 1-3,true,38,38,116
BasketPage,200,OK,Thread Group 1-7,true,38,38,158
BasketPage,200,OK,Thread Group 1-8,true,38,38,139
UK Page,200,OK,Thread Group 1-21,true,38,38,310
BasketPage,200,OK,Thread Group 1-16,true,38,38,127
Honor 5X Details ,200,OK,Thread Group 1-28,true,38,38,346
Honor 5X Details ,200,OK,Thread Group 1-6,true,38,38,284
UK Page,200,OK,Thread Group 1-32,true,38,38,335
UK Page,200,OK,Thread Group 1-30,true,38,38,342
Country Select,200,OK,Thread Group 1-4,true,38,38,285
AddToBasketPage,200,OK,Thread Group 1-11,true,38,38,124
AddToBasketPage,200,OK,Thread Group 1-9,true,38,38,152
Honor 5X Details ,200,OK,Thread Group 1-18,true,38,38,175
UK Page,200,OK,Thread Group 1-33,true,38,38,330
BasketPage,200,OK,Thread Group 1-25,true,38,38,250
Honor 5X Details ,200,OK,Thread Group 1-10,true,38,38,271
Chekout-Auth,200,OK,Thread Group 1-13,true,38,38,120
UK Page,200,OK,Thread Group 1-22,true,39,39,321
Country Select,200,OK,Thread Group 1-14,true,39,39,292
UK Page,200,OK,Thread Group 1-19,true,39,39,340
AddToBasketPage,200,OK,Thread Group 1-27,true,39,39,150
UK Page,200,OK,Thread Group 1-34,true,39,39,387
UK Page,200,OK,Thread Group 1-31,true,39,39,342
BasketPage,200,OK,Thread Group 1-5,true,39,39,143
Chekout-Auth,200,OK,Thread Group 1-15,true,39,39,169
BasketPage,200,OK,Thread Group 1-24,true,39,39,178
BasketPage,200,OK,Thread Group 1-23,true,39,39,224
UK Page,200,OK,Thread Group 1-20,true,39,39,406
UK Page,200,OK,Thread Group 1-2,true,39,39,308
Country Select,200,OK,Thread Group 1-3,true,40,40,337
AddToBasketPage,200,OK,Thread Group 1-17,true,40,40,197
AddToBasketPage,200,OK,Thread Group 1-12,true,40,40,205
Country Select,200,OK,Thread Group 1-13,true,40,40,267
UK Page,200,OK,Thread Group 1-4,true,40,40,312
UK Page,200,OK,Thread Group 1-14,true,40,40,250
AddToBasketPage,200,OK,Thread Group 1-1,true,40,40,169
Chekout-Auth,200,OK,Thread Group 1-7,true,40,40,159
Country Select,200,OK,Thread Group 1-36,true,40,40,819
Chekout-Auth,200,OK,Thread Group 1-8,true,40,40,152
UK Page,200,OK,Thread Group 1-35,true,40,40,450
Country Select,200,OK,Thread Group 1-37,true,41,41,645
AddToBasketPage,200,OK,Thread Group 1-26,true,41,41,172
BasketPage,200,OK,Thread Group 1-11,true,41,41,109
AddToBasketPage,200,OK,Thread Group 1-28,true,41,41,158
Chekout-Auth,200,OK,Thread Group 1-16,true,41,41,162
AddToBasketPage,200,OK,Thread Group 1-6,true,41,41,163
Country Select,200,OK,Thread Group 1-15,true,41,41,303
BasketPage,200,OK,Thread Group 1-9,true,41,41,118
Honor 5X Details ,200,OK,Thread Group 1-29,true,41,41,392
Honor 5X Details ,200,OK,Thread Group 1-22,true,41,41,315
Honor 5X Details ,200,OK,Thread Group 1-21,true,41,41,422
AddToBasketPage,200,OK,Thread Group 1-18,true,41,41,242
Honor 5X Details ,200,OK,Thread Group 1-30,true,41,41,315
Honor 5X Details ,200,OK,Thread Group 1-19,true,41,41,300
AddToBasketPage,200,OK,Thread Group 1-10,true,41,41,229
Chekout-Auth,200,OK,Thread Group 1-25,true,41,41,230
Chekout-Auth,200,OK,Thread Group 1-23,true,41,41,234
Chekout-Auth,200,OK,Thread Group 1-24,true,41,41,232
Honor 5X Details ,200,OK,Thread Group 1-32,true,41,41,344
UK Page,200,OK,Thread Group 1-3,true,41,41,246
Country Select,200,OK,Thread Group 1-7,true,41,41,137
UK Page,200,OK,Thread Group 1-13,true,41,41,212
Chekout-Auth,200,OK,Thread Group 1-5,true,41,41,237
Country Select,200,OK,Thread Group 1-8,true,41,41,133
BasketPage,200,OK,Thread Group 1-12,true,41,41,120
Country Select,200,OK,Thread Group 1-38,true,42,42,705
BasketPage,200,OK,Thread Group 1-17,true,42,42,122
BasketPage,200,OK,Thread Group 1-27,true,42,42,315
BasketPage,200,OK,Thread Group 1-1,true,42,42,94
Country Select,200,OK,Thread Group 1-16,true,42,42,139
UK Page,200,OK,Thread Group 1-36,true,42,42,203
Country Select,200,OK,Thread Group 1-39,true,42,42,560
Honor 5X Details ,200,OK,Thread Group 1-33,true,42,42,370
Country Select,200,OK,Thread Group 1-25,true,42,42,93
Country Select,200,OK,Thread Group 1-23,true,42,42,101
Honor 5X Details ,200,OK,Thread Group 1-34,true,42,42,295
UK Page,200,OK,Thread Group 1-37,true,42,42,215
